Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MER^K,"Merrill Lynch & Co., Inc.",25.865,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mer^k
MER^P,"Merrill Lynch & Co., Inc.",26.66,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mer^p
PIY,"Merrill Lynch Depositor, Inc.",28.13,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/piy
MRUS,Merus N.V.,9.1,140204682.8,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrus
MLAB,"Mesa Laboratories, Inc.",112.17,411152853.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mlab
MTR,Mesa Royalty Trust,8.84,16474135.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mtr
MSB,Mesabi Trust,9.57,125558495.7,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/msb
MESO,Mesoblast Limited,4.96,21671653.6,4369285,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/meso
CASH,"Meta Financial Group, Inc.",61.6,525087147.2,n/a,1993,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cash
MPG,Metaldyne Performance Group Inc.,16.17,1087483807,n/a,2014,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mpg
MEOH,Methanex Corporation,31.62,2839357046,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meoh
MEI,"Methode Electronics, Inc.",35.3,1300288243,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mei
MET,"MetLife, Inc.",43.26,47537219245,n/a,2000,Finance,Life Insurance,http://www.nasdaq.com/symbol/met
MET^A,"MetLife, Inc.",25.47,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/met^a
MTD,"Mettler-Toledo International, Inc.",401.55,10636902896,n/a,1997,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/mtd
MXC,Mexco Energy Corporation,4.05,8250927.3,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mxc
MXE,"Mexico Equity and Income Fund, Inc. (The)",10.8,81456786,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mxe
MXF,"Mexico Fund, Inc. (The)",16.8676,253745514.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mxf
MFA,"MFA Financial, Inc.",7.79,2890957884,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mfa
MFA^B,"MFA Financial, Inc.",25.528,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mfa^b
